,poi_id,location_name,longitude,latitude,raw_visit_counts,date_start
0,6a2d40f8-c477-49b6-a5d5-69c31f001afc,Auto Express,-86.868565,40.367561,28,2020-11-02
1,49636347-5a9d-4bf3-9d9a-c21a4ba7d8f1,Del Real Auto Connection,-86.859945,40.43821,14,2020-11-02
2,d98b37cd-ed64-456c-b580-c2c299c9f6d6,Bear's Auto Sales,-86.86988199999998,40.409919,10,2020-11-02
3,efb4f5e7-28c2-47be-9d47-254280b8458e,Gta Auto Sales,-86.87796,40.44060800000001,6,2020-11-02
4,16f4e696-2065-4854-8ba6-a8cab2b67bf7,Steve Firestone Auto Sales,-86.880571,40.43906,23,2020-11-02
5,156f82b5-cba9-4a2a-b8ac-4b5cb206d27d,Rohrman Bob Automotive Group,-86.857272,40.408087,57,2020-11-02
6,7137f730-7aaa-4d32-9e05-fa02ba002055,Right Choice Autos,-86.855374,40.424286,11,2020-11-02
7,d529d940-f0d7-4938-93a0-dd90ba83d3f5,McCarty Motors,-86.853358,40.402522,5,2020-11-02
8,439d8d34-4278-431a-bc0c-b648204d9129,Manolo Auto Sales,-86.83789399999998,40.38999,4,2020-11-02
9,eb699a93-f2b4-4656-a1d3-e7aee5db262b,Greater Innovations Marketing,-86.928125,40.464577,4,2020-11-02
10,7e1debba-8343-4e4b-846f-efff3fcbe516,University Place,-86.936913,40.447325,19,2020-11-02
11,c4f6ee6d-c1fd-49c9-9c3c-f359f19e6bfe,Glasswater Creek of Lafayette,-86.899569,40.389059,29,2020-11-02
12,ad279f23-a1bb-46b8-866d-eddeba8d289b,Aster Place,-86.827874,40.409574,57,2020-11-02
13,e598d2a0-3f94-45f6-a4bd-c69689165606,New View Doors Windows and Home Improvements,-86.93489,40.481479,15,2020-11-02
14,f306c553-9a50-42ea-910d-fc42cf18c5e0,Blue Fox Heating & Cooling,-86.915296,40.454082,4,2020-11-02
15,f83a83eb-8210-4c1a-9637-e8e8dfd005ec,Peterman Heating Cooling & Plumbing Inc,-86.850872,40.418058,24,2020-11-02
